"site","cid","burn","east","north","ucid","dist","het3","het6","het8","tpi","slope","elev","max.ht","avg.ht","n","shrubs_n","gt25_n"
"Cold",330,1,638186.900581659,4772220.3860298,101330,54.0832691313787,1.74495077133179,0.067311592400074,0.000521975569427013,-0.0990550965070724,2.88704466819763,1119.11560058594,0.2806396484375,0.0393749922513962,3,18,3
"Cold",592,1,638176.90058166,4772160.3860298,101592,58.5234995539363,11.8541059494019,0.19081175327301,0.00149677519220859,0.0355653986334801,2.55049276351929,1119.26245117188,0.3919677734375,0.0929424911737442,8,8,8
"Cold",435,1,638161.900581659,4772195.3860298,101435,38.0788655293043,76.5719985961914,0.715616643428802,0.00503958109766245,0.047680351883173,3.98831844329834,1122.09509277344,0.8885498046875,0.108517855405807,2,9,2
"Cold",581,1,638121.900581659,4772160.3860298,101581,11.1803398879675,5.85992193222046,0.232932597398758,0.00215294375084341,-0.01110256370157,2.36711239814758,1122.39587402344,0.7520751953125,0.0653001070022583,10,12,10
"Cold",44,1,638186.90058166,4772285.3860298,10144,15.0000000009313,210.712921142578,0.95311975479126,0.00719015207141638,-0.00775800226256251,1.87271010875702,1123.85461425781,1.1590576171875,0.135837122797966,1,12,1
"Cold",297,1,638131.90058166,4772225.3860298,101297,14.1421356239779,88.746467590332,1.31710517406464,0.0101319123059511,0.0520233027637005,2.06467318534851,1123.76879882812,0.88623046875,0.0958447605371475,0,6,0
"Cold",565,1,638151.900581659,4772165.3860298,101565,33.5410196616638,3.62633538246155,0.138580366969109,0.00128727126866579,0.0316506586968899,2.76543879508972,1122.17749023438,0.43994140625,0.0692595168948174,0,2,0
"Cold",192,1,638156.90058166,4772250.3860298,101192,15.0000000009313,192.605972290039,1.35646414756775,0.00886834785342216,-0.0064785978756845,2.24371075630188,1123.38330078125,0.9375,0.181951582431793,0,7,0
"Cold",196,1,638176.90058166,4772250.3860298,101196,25.0000000006519,50.0350379943848,0.333665192127228,0.0021606981754303,-0.0572334825992584,2.89276933670044,1120.62817382812,0.8140869140625,0.0693111196160316,5,21,5
"Cold",460,1,638176.90058166,4772190.3860298,101460,53.8516480714315,5.53367376327515,0.162749245762825,0.00152370240539312,0.0284168403595686,2.40178871154785,1122.83679199219,0.5396728515625,0.060043778270483,0,0,0
"Cold",258,1,638156.900581659,4772235.3860298,101258,24.9999999980908,64.5571365356445,0.738379776477814,0.00428690435364842,-0.0157303959131241,2.28579187393188,1117.05383300781,0.6025390625,0.155725717544556,13,13,5
"Cold",285,1,638181.900581659,4772230.3860298,101285,43.0116263348748,1.56829309463501,0.0441380999982357,0.000361721409717575,0.0613877028226852,3.24261236190796,1121.69641113281,0.184814453125,0.0304743964225054,0,14,0
"Cold",212,1,638146.90058166,4772245.3860298,101212,11.1803398834901,8.28797817230225,0.135265931487083,0.001117650186643,0.0164135787636042,3.04467630386353,1121.20043945312,0.499755859375,0.0907570794224739,7,14,6
"Cold",480,1,638166.900581659,4772185.3860298,101480,45.2769256899672,172.060775756836,0.695880830287933,0.00414526695385575,0.0199470408260822,4.02481031417847,1118.46215820312,0.819580078125,0.176104918122292,0,11,0
"Cold",301,1,638151.900581659,4772225.3860298,101301,24.9999999991618,13.9482936859131,0.188130438327789,0.00118616025429219,-0.0342781506478786,1.82560861110687,1124.5029296875,0.6334228515625,0.0375765673816204,0,0,0
"Cold",568,1,638166.900581658,4772165.3860298,101568,47.4341649010163,37.8586463928223,0.349559366703033,0.00250789243727922,-0.00643289834260941,2.4579553604126,1120.97338867188,0.590576171875,0.112968139350414,0,0,0
"Cold",526,1,638176.900581659,4772175.3860298,101526,55.226805084524,67.9572067260742,0.691403269767761,0.00415648054331541,0.0381510145962238,3.21581315994263,1118.3994140625,0.788818359375,0.113174952566624,1,9,1
"Cold",366,1,638146.90058166,4772210.3860298,101366,20.0000000003492,3.34226155281067,0.107782118022442,0.000762025476433337,-0.0382859371602535,3.89195919036865,1120.00085449219,0.3970947265625,0.0372552536427975,1,2,1
"Cold",392,1,638166.900581659,4772205.3860298,101392,40.3112887404531,216.484252929688,1.22534537315369,0.00831315945833921,0.044340830296278,4.18530035018921,1121.10290527344,1.2508544921875,0.230127409100533,0,0,0
"Cold",87,1,638181.900581659,4772275.3860298,10187,14.1421356229078,53.7937431335449,0.450580239295959,0.00342543330043554,-0.0328688807785511,3.26283121109009,1122.87768554688,0.8389892578125,0.106628857553005,1,10,1
"Cold",453,1,638141.900581659,4772190.3860298,101453,22.3606797748938,93.5777435302734,0.691411972045898,0.00437954301014543,0.0291678290814161,4.26868534088135,1119.81188964844,0.6636962890625,0.139633610844612,0,9,0
"Cold",350,1,638176.90058166,4772215.3860298,101350,50.249378106091,74.8848114013672,0.66279810667038,0.00400941167026758,-0.0116676930338144,3.16687369346619,1120.85705566406,0.660888671875,0.115402474999428,0,16,0
"Cold",242,1,638186.900581659,4772240.3860298,101242,39.0512483791755,3.91900563240051,0.0999425277113914,0.000878146791364998,-0.0526513867080212,2.69195652008057,1123.46569824219,0.2952880859375,0.0630834698677063,2,14,2
"Cold",550,1,638186.90058166,4772170.3860298,101550,65.7647321902898,52.567684173584,0.609193801879883,0.00396666675806046,0.0194672718644142,2.67054581642151,1117.38049316406,0.5269775390625,0.141258150339127,0,16,0
"Cold",255,1,638141.900581659,4772235.3860298,101255,11.1803398865618,7.29577302932739,0.20686349272728,0.00162455544341356,-0.0491092540323734,3.61442613601685,1121.65051269531,0.3399658203125,0.0698961094021797,0,0,0
"Cold",386,1,638136.900581658,4772205.3860298,101386,11.1803398870824,15.3800439834595,0.176072522997856,0.00139985594432801,0.0525064617395401,4.07066011428833,1122.39819335938,0.39892578125,0.0612798370420933,11,11,11
